slug,url,category_id,category,type,title,description,h1,canonical,date_published,date_modified,has_ads,ad_slots,has_cluster,has_takeaway,next_read_count,body_chars
hoken-sodan-hikaku,/articles/hoken-sodan-hikaku/,category-insurance,保険と将来のお金,essay,保険相談サービス3社を比べる｜順位ではなく、条件で選ぶ,保険マンモス・みんなの生命保険アドバイザー・保険の無料相談サイト「ガーデン」の3社を、公式情報で確認できる項目だけを同じ軸で並べました。順位は付けません。確認できなかった項目は未確認と表示しています。,保険相談サービス3社を比べる 順位ではなく、条件で選ぶ,https://kakei-hokenshitsu.com/articles/hoken-sodan-hikaku/,2026-09-02,2026-09-02,True,hoken-garden|hoken-mammoth|hoken-minna,True,True,3,2721
kakeibo-saishougen,/articles/kakeibo-saishougen/,category-basics,家計を見わたす,steps,家計簿を続ける最小の方法｜全部を記録しない,家計簿が続かないのは意志の問題ではなく、記録する量が多すぎるからです。固定費は記録せず月1回の確認に回し、変動費も費目を3つに絞る。続けるための最小構成を手順で示します。,家計簿を続ける最小の方法 全部を記録しない,https://kakei-hokenshitsu.com/articles/kakeibo-saishougen/,2026-09-02,2026-09-02,False,,False,True,4,1414
kodomo-kyoiku-hi,/articles/kodomo-kyoiku-hi/,category-insurance,保険と将来のお金,stats,子どもの教育費はいくら？幼稚園から高校までの学習費を公私別に整理,文部科学省「令和5年度 子供の学習費調査」（2026年1月16日訂正版）から、幼稚園・小学校・中学校・高等学校の学習費総額を公立／私立別に整理します。平均を必要額として扱わないための読み方も示します。,子どもの教育費はいくら？ 幼稚園から高校までの学習費を公私別に整理,https://kakei-hokenshitsu.com/articles/kodomo-kyoiku-hi/,2026-09-02,2026-09-02,False,,False,True,4,2089
kodomo-smartphone-tsushinhi,/articles/kodomo-smartphone-tsushinhi/,category-telecom,通信費を見直す,steps,子どもがスマホを持つときの通信費の考え方,子どものスマホは、本体代・通信料・オプションが別々にかかります。家族全体の通信費がどれだけ増えるかを先に出し、使い方から必要な容量を決めるための考え方を整理します。,子どもがスマホを持つときの 通信費の考え方,https://kakei-hokenshitsu.com/articles/kodomo-smartphone-tsushinhi/,2026-09-02,2026-09-02,False,,False,True,3,1471
kotei-hi-minaoshi-junban,/articles/kotei-hi-minaoshi-junban/,category-basics,家計を見わたす,steps,固定費を見直す順番｜どこから手をつけるか,固定費は全部を一度に見直そうとすると続きません。効果の大きさ・手続きの重さ・効果が続くかの3つで順番を決める考え方と、費目ごとの位置づけを整理します。,固定費を見直す順番 どこから手をつけるか,https://kakei-hokenshitsu.com/articles/kotei-hi-minaoshi-junban/,2026-09-02,2026-09-02,False,,False,True,5,1412
kotei-hi-sagetemo-tamaranai,/articles/kotei-hi-sagetemo-tamaranai/,category-basics,家計を見わたす,essay,固定費を削っても貯まらないときに、見直すこと,固定費を減らしたのにお金が残らない。その原因を、収支・特別費・変動費・先取り貯蓄・負債・ライフイベントの6つに切り分けて確認する手順を解説します。,固定費を削っても貯まらないときに、見直すこと,https://kakei-hokenshitsu.com/articles/kotei-hi-sagetemo-tamaranai/,2026-08-30,2026-08-30,True,savings,False,True,3,1794
kouteki-hoshou-kakunin,/articles/kouteki-hoshou-kakunin/,category-insurance,保険と将来のお金,steps,民間保険を見直す前に確認したい公的保障｜医療費・働けない・死亡時の備えを整理,保険料を見直すとき、先に確認したいのが公的保障です。高額療養費・傷病手当金・障害年金・遺族年金の4つを場面ごとに整理し、自分の場合を公式情報で確認する順番を示します。公的保障だけで十分とは限りません。,民間保険を見直す前に確認したい公的保障 医療費・働けない・死亡時の備えを整理,https://kakei-hokenshitsu.com/articles/kouteki-hoshou-kakunin/,2026-09-03,2026-09-03,False,,True,True,3,3579
kuruma-hiyou-bunkai,/articles/kuruma-hiyou-bunkai/,category-basics,家計を見わたす,steps,車にかかるお金はいくら？維持費を月額ではなく項目ごとに分解する,車の維持費は「月◯万円」という平均では家計に落とせません。毎月・毎年・数年ごと・不定期の4つに費用を分け、年1回の金額へ換算して家計に組み込む手順を示します。税額や自賠責は条件で変わるため、確認先も示します。,車にかかるお金はいくら？ 維持費を月額ではなく項目ごとに分解する,https://kakei-hokenshitsu.com/articles/kuruma-hiyou-bunkai/,2026-09-03,2026-09-03,False,,False,True,3,2675
kyoiku-hi-junbi,/articles/kyoiku-hi-junbi/,category-insurance,保険と将来のお金,steps,教育費の準備の始め方｜総額より先に「いつ必要か」を出す,教育費は総額を知っただけでは準備できません。いつ・いくら必要になるかを時期で並べ、いまの家計と貯蓄ペースを照らして、不足がありそうなときに方法を考える。その順番を実務的に整理します。,教育費の準備の始め方 総額より先に「いつ必要か」を出す,https://kakei-hokenshitsu.com/articles/kyoiku-hi-junbi/,2026-09-03,2026-09-03,False,,False,True,3,2011
muryo-hoken-sodan-naze-muryo,/articles/muryo-hoken-sodan-naze-muryo/,category-insurance,保険と将来のお金,essay,無料保険相談はなぜ無料？利用前に知っておきたいこと,保険の無料相談で、相談者が費用を負担しないのはなぜか。手数料の仕組み、加入義務の有無、断りたいときの手段など、利用する前に知っておきたいことを、各社が公式に説明している範囲で整理します。,無料保険相談はなぜ無料？ 利用前に知っておきたいこと,https://kakei-hokenshitsu.com/articles/muryo-hoken-sodan-naze-muryo/,2026-09-02,2026-09-02,False,,True,True,4,2072
propane-gas-takai,/articles/propane-gas-takai/,category-utilities,光熱費を見直す,steps,プロパンガスが高いのはなぜ？賃貸でもできる見直しの手順,プロパンガス（LPガス）の料金が都市ガスより高くなりやすい理由と、賃貸住宅に住んでいる人でも取れる見直しの手順を、確認する順番に沿って解説します。,プロパンガスが高いのはなぜ？ 賃貸でもできる見直しの手順,https://kakei-hokenshitsu.com/articles/propane-gas-takai/,2026-08-30,2026-08-30,True,gas,False,True,3,2521
set-wari-kangaekata,/articles/set-wari-kangaekata/,category-telecom,通信費を見直す,steps,ネット回線とスマホのセット割は本当に得か,セット割は「割引額」ではなく「合計額」で判断します。適用条件・対象回線数・適用期間・解約時の扱いなど、得かどうかを自分で計算するための確認項目を整理します。,ネット回線とスマホの セット割は本当に得か,https://kakei-hokenshitsu.com/articles/set-wari-kangaekata/,2026-09-02,2026-09-02,False,,False,True,3,1556
subscription-kaiyaku-mae,/articles/subscription-kaiyaku-mae/,category-contracts,毎月の契約を見直す,steps,サブスクを解約する前に確認すること,解約ボタンを押す前に確認しておくと、あとで困らない項目があります。契約した経路、次回の請求日、残っているデータ、年払いの扱い、再開したときの条件まで、手順として整理します。,サブスクを解約する前に 確認すること,https://kakei-hokenshitsu.com/articles/subscription-kaiyaku-mae/,2026-09-02,2026-09-02,False,,False,True,3,1608
subscription-tanaoroshi,/articles/subscription-tanaoroshi/,category-contracts,毎月の契約を見直す,steps,サブスクの棚卸し手順｜契約を全部洗い出して、続けるものだけ残す,動画・音楽・アプリ・クラウドなど、増えがちなサブスクを漏れなく洗い出す手順。支払い元をたどる方法、解約前に確認すること、続けるかどうかの判断基準まで解説します。,サブスクの棚卸し手順,https://kakei-hokenshitsu.com/articles/subscription-tanaoroshi/,2026-08-30,2026-08-30,False,,False,True,3,1598
suidou-kangaekata,/articles/suidou-kangaekata/,category-utilities,光熱費を見直す,steps,水道代の考え方｜他の家と金額で比べられない理由,水道料金は自治体・水道事業者ごとに料金体系が違い、口径や使用量でも変わります。金額で他の家と比べる代わりに、検針票の使用量から自分の家の変化を追う方法を整理します。,水道代の考え方 他の家と金額で比べられない理由,https://kakei-hokenshitsu.com/articles/suidou-kangaekata/,2026-09-03,2026-09-03,False,,False,True,3,2130
water-server-minaoshi,/articles/water-server-minaoshi/,category-contracts,毎月の契約を見直す,steps,ウォーターサーバーは続けるべき？月の総額を出してから判断する手順,ウォーターサーバーの費用はレンタル料だけではありません。水の代金・電気代・手数料を合わせた総額の出し方と、解約前に確認すること、代替手段との比べ方を解説します。,ウォーターサーバーは続けるべき？ 月の総額を出してから判断する,https://kakei-hokenshitsu.com/articles/water-server-minaoshi/,2026-08-30,2026-08-30,False,,False,True,2,1587
